"printing_id","short_id","canonical_id","set_code","collector_number","card_type","name_en","version_en","rules_text_en","flavor_text_en_reference","i18n_file_to_update","spanish_status"
"set1-015","ExX","ci_ExX","set1","15","character","Mr. Smee","Loyal First Mate","undefined","Mr. Smee is a kind, gentle soul who lives to bring comfort and aid to a twisted old villain. Now, what good is kindness like that? —Peter Pan","src/cards/001/characters/015-mr-smee-loyal-first-mate.i18n.ts","translated"
"set1-016","0Xn","ci_0Xn","set1","16","character","Prince Phillip","Dragonslayer","HEROISM When this character challenges and is banished, you may banish the challenged character.","The road to true love may be barred by still many more dangers, which you alone will have to face. —Flora","src/cards/001/characters/016-prince-phillip-dragonslayer.i18n.ts","translated"
"set1-017","Itm","ci_Itm","set1","17","character","Pumbaa","Friendly Warthog","undefined","You gotta put your behind in your past.","src/cards/001/characters/017-pumbaa-friendly-warthog.i18n.ts","translated"
"set1-018","vmK","ci_mTY","set1","18","character","Rapunzel","Gifted with Healing","GLEAM AND GLOW When you play this character, remove up to 3 damage from one of your characters. Draw a card for each 1 damage removed this way.","","src/cards/001/characters/018-rapunzel-gifted-with-healing.i18n.ts","translated"
"set1-019","Xb7","ci_Xb7","set1","19","character","Sebastian","Court Composer","Singer 4","I should be writing symphonies, not tagging along after some headstrong teenager.","src/cards/001/characters/019-sebastian-court-composer.i18n.ts","translated"
"set1-020","ibT","ci_ibT","set1","20","character","Simba","Protective Cub","Bodyguard","Courage comes in all sizes.","src/cards/001/characters/020-simba-protective-cub.i18n.ts","translated"
"set1-021","VeF","ci_44h","set1","21","character","Stitch","Carefree Surfer","OHANA When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.","So you’re from outer space, huh? I hear the surfing’s choice. —David","src/cards/001/characters/021-stitch-carefree-surfer.i18n.ts","translated"
"set1-022","Weh","ci_Weh","set1","22","character","Stitch","New Dog","undefined","Lilo: David! I got a new dog! David: Auwe!... You sure it’s a dog? Lilo: Uh-huh. He used to be a collie before he got ran over.","src/cards/001/characters/022-stitch-new-dog.i18n.ts","translated"
"set1-023","UIq","ci_x45","set1","23","character","Stitch","Rock Star","Shift 4
ADORING FANS Whenever you play a character with cost 2 or less, you may exert them to draw a card.","The best part about a beachside concert is that there’s always room for one more.","src/cards/001/characters/023-stitch-rock-star.i18n.ts","translated"
"set1-024","2d9","ci_2d9","set1","24","character","Timon","Grub Rustler","TASTES LIKE CHICKEN When you play this character, you may remove up to 1 damage from chosen character.","There’s all manner of tasty treats in the world—ya just gotta know where to look.","src/cards/001/characters/024-timon-grub-rustler.i18n.ts","translated"
"set1-025","nXA","ci_XYl","set1","25","action","Be Our Guest","","Look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of your deck in any order.","","src/cards/001/actions/025-be-our-guest.i18n.ts","translated"
"set1-026","PZv","ci_PZv","set1","26","action","Control Your Temper!","","Chosen character gets -2 {S} this turn.","","src/cards/001/actions/026-control-your-temper.i18n.ts","translated"
"set1-027","2U7","ci_2U7","set1","27","action","Hakuna Matata","","Remove up to 3 damage from each of your characters.","What a wonderful phrase!","src/cards/001/actions/027-hakuna-matata.i18n.ts","translated"
"set1-028","S50","ci_S50","set1","28","action","Healing Glow","","Remove up to 2 damage from chosen character.","Don’t freak out! —Rapunzel","src/cards/001/actions/028-healing-glow.i18n.ts","translated"
"set1-029","TAp","ci_TAp","set1","29","action","Just in Time","","You may play a character with cost 5 or less for free.","The best heroes always arrive at the perfect moment—whether they know it or not.","src/cards/001/actions/029-just-in-time.i18n.ts","translated"
"set1-030","Vba","ci_Vba","set1","30","action","Part of Your World","","Return a character card from your discard to your hand.","What would I give If I could live out of these waters?","src/cards/001/actions/030-part-of-your-world.i18n.ts","translated"
"set1-031","3p5","ci_3p5","set1","31","action","You Have Forgotten Me","","Each opponent chooses and discards 2 cards.","You are more than what you have become. —Mufasa","src/cards/001/actions/031-you-have-forgotten-me.i18n.ts","translated"
"set1-032","hoX","ci_hoX","set1","32","item","Dinglehopper","","STRAIGHTEN HAIR {E} — Remove up to 1 damage from chosen character.","Enjoy the finest of human hairstyles!","src/cards/001/items/032-dinglehopper.i18n.ts","translated"
"set1-033","Dig","ci_38Q","set1","33","item","Lantern","","BIRTHDAY LIGHTS {E} — You pay 1 {I} less for the next character you play this turn.","Lanterns fill the sky on one special night, beacons of hope and love.","src/cards/001/items/033-lantern.i18n.ts","translated"
"set1-034","0CY","ci_Ewu","set1","34","item","Ursula’s Shell Necklace","","\Now, Sing!\ Whenever you play a song, you may pay 1 {I} to draw a card.","Singing is a lovely pastime... if you’ve got the voice for it. —Ursula","src/cards/001/items/034-ursulas-shell-necklace.i18n.ts","translated"
"set1-035","PD8","ci_PD8","set1","35","character","Anna","Heir to Arendelle","LOVING HEART When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn't ready at the start of their next turn.","Two sisters, one mind.","src/cards/001/characters/035-anna-heir-to-arendelle.i18n.ts","translated"
"set1-036","mgF","ci_mgF","set1","36","character","Archimedes","Highly Educated Owl","undefined","Flying is not merely some crude, mechanical process. It is a delicate art. Purely aesthetic. Poetry of motion. And the best way to learn it is to do it!","src/cards/001/characters/036-archimedes-highly-educated-owl.i18n.ts","translated"
"set1-037","Af3","ci_Af3","set1","37","character","Dr. Facilier","Agent Provocateur","Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Dr. Facilier.)
INTO THE SHADOWS Whenever one of your other characters is banished in a challenge, you may return that card to your hand.","","src/cards/001/characters/037-dr-facilier-agent-provocateur.i18n.ts","translated"
"set1-038","wGC","ci_wGC","set1","38","character","Dr. Facilier","Charlatan","Challenger +2","Enchantée. A tip of the hat from Dr. Facilier.","src/cards/001/characters/038-dr-facilier-charlatan.i18n.ts","translated"
"set1-039","BMe","ci_BMe","set1","39","character","Dr. Facilier","Remarkable Gentleman","DREAMS MADE REAL Whenever you play a song, you may look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.","","src/cards/001/characters/039-dr-facilier-remarkable-gentleman.i18n.ts","translated"
"set1-040","qQ5","ci_qQ5","set1","40","character","Elsa","Queen Regent","undefined","I never knew what I was capable of.","src/cards/001/characters/040-elsa-queen-regent.i18n.ts","translated"
"set1-041","b3D","ci_77P","set1","41","character","Elsa","Snow Queen","FREEZE {E} — Exert chosen opposing character.","Recreated by magical ink, Elsa found herself in an entirely new world. Fortunately, ice works the same way everywhere.","src/cards/001/characters/041-elsa-snow-queen.i18n.ts","translated"
"set1-042","1t0","ci_4Pf","set1","42","character","Elsa","Spirit of Winter","Shift 6
DEEP FREEZE When you play this character, exert up to 2 chosen characters. They can't ready at the start of their next turn.","Ice is stronger than you may think.","src/cards/001/characters/042-elsa-spirit-of-winter.i18n.ts","translated"
"set1-043","BDi","ci_BDi","set1","43","character","Flotsam","Ursula’s Spy","Rush

\Dexterous Lunge\ Your characters named Jetsam gain Rush.","We know someone who can help you. . . for a price.","src/cards/001/characters/043-flotsam-ursulas-spy.i18n.ts","translated"
"set1-044","vm4","ci_2bv","set1","44","character","Jafar","Keeper of Secrets","HIDDEN WONDERS This character gets +1 {S} for each card in your hand.","There's more than one way to bury secrets.","src/cards/001/characters/044-jafar-keeper-of-secrets.i18n.ts","translated"
"set1-045","APi","ci_APi","set1","45","character","Jafar","Wicked Sorcerer","Challenger +3","Enough skulking about. It's time to show that sniveling sultan what a sorcerer can do.","src/cards/001/characters/045-jafar-wicked-sorcerer.i18n.ts","translated"
"set1-046","0Bx","ci_0Bx","set1","46","character","Jetsam","Ursula’s Spy","Evasive

\Sinister Slither\ Your characters named Flotsam gain Evasive.","We can help you get anything you want.. . .","src/cards/001/characters/046-jetsam-ursulas-spy.i18n.ts","translated"
"set1-047","Ors","ci_Ors","set1","47","character","Magic Broom","Bucket Brigade","SWEEP When you play this character, you may shuffle a card from any discard into its player's deck.","In the immense story-forge known as the Great Illuminary, there is always work to be done.","src/cards/001/characters/047-magic-broom-bucket-brigade.i18n.ts","translated"
"set1-048","6FJ","ci_6FJ","set1","48","character","Maleficent","Biding Her Time","undefined","One mustn’t rush these things, or the greatest plan might come to nothing.","src/cards/001/characters/048-maleficent-biding-her-time.i18n.ts","translated"
"set1-049","H9N","ci_H9N","set1","49","character","Maleficent","Sorceress","CAST MY SPELL! When you play this character, you may draw a card.","You dare challenge <me>? Fool, my magic is more powerful than you could possibly imagine!","src/cards/001/characters/049-maleficent-sorceress.i18n.ts","translated"
"set1-050","vE2","ci_vE2","set1","50","character","Marshmallow","Persistent Guardian","DURABLE When this character is banished in a challenge, you may return this card to your hand.","Hey! We were just talking about you! All good things, all good things. —Olaf","src/cards/001/characters/050-marshmallow-persistent-guardian.i18n.ts","translated"
"set1-051","iGH","ci_cZb","set1","51","character","Mickey Mouse","Wayward Sorcerer","ANIMATE BROOM You pay 1 {I} less to play Broom characters.
CEASELESS WORKER Whenever one of your Broom characters is banished in a challenge, you may return that card to your hand.","He always goes for the clean sweep.","src/cards/001/characters/051-mickey-mouse-wayward-sorcerer.i18n.ts","translated"
"set1-052","ch3","ci_fZN","set1","52","character","Olaf","Friendly Snowman","undefined","I’m Olaf and I like warm hugs!","src/cards/001/characters/052-olaf-friendly-snowman.i18n.ts","translated"
"set1-053","81V","ci_81V","set1","53","character","Pascal","Rapunzel’s Companion","\Camouflage\ While you have another character in play, this character gains Evasive.","A true friend is always there for you, whether you can see them or not.","src/cards/001/characters/053-pascal-rapunzels-companion.i18n.ts","translated"
"set1-054","HXN","ci_HXN","set1","54","character","Rafiki","Mysterious Sage","Rush","The past can hurt. But the way I see it, you can either run from it or learn from it.","src/cards/001/characters/054-rafiki-mysterious-sage.i18n.ts","translated"
"set1-055","L7t","ci_Nok","set1","55","character","Sven","Official Ice Deliverer","undefined","Reindeer comin’ through! —Kristoff","src/cards/001/characters/055-sven-official-ice-deliverer.i18n.ts","translated"
"set1-056","KjI","ci_yYu","set1","56","character","The Queen","Wicked and Vain","I SUMMON THEE {E} — Draw a card.","Sublime beauty matched with peerless cunning. Is there any question who is fairest?","src/cards/001/characters/056-the-queen-wicked-and-vain.i18n.ts","translated"
"set1-057","FRs","ci_FRs","set1","57","character","The Wardrobe","Belle’s Confidant","undefined","When you simply must have the hautest couture.","src/cards/001/characters/057-the-wardrobe-belles-confidant.i18n.ts","translated"
"set1-058","52N","ci_52N","set1","58","character","Tinker Bell","Peter Pan’s Ally","Evasive

\Loyal and Devoted\ Your characters named Peter Pan gain Challenger +1. (They get +1 {S} while challenging.)","","src/cards/001/characters/058-tinker-bell-peter-pans-ally.i18n.ts","translated"
"set1-059","O7h","ci_O7h","set1","59","character","Ursula","Power Hungry","IT'S TOO EASY! When you play this character, each opponent loses 1 lore. You may draw a card for each 1 lore lost this way.","The first Rule of Villainy: If you’re going to be evil, you’ve got to have STYLE.","src/cards/001/characters/059-ursula-power-hungry.i18n.ts","translated"
"set1-060","t2a","ci_BVo","set1","60","character","Yzma","Alchemist","YOU'RE EXCUSED Whenever this character quests, look at the top card of your deck. Put it on either the top or the bottom of your deck.","When I want your opinion, I will give it to you!","src/cards/001/characters/060-yzma-alchemist.i18n.ts","translated"
"set1-061","oPz","ci_oPz","set1","61","character","Zeus","God of Lightning","Rush
Challenger +4","A little lightning solves a whole lot of problems.","src/cards/001/characters/061-zeus-god-of-lightning.i18n.ts","translated"
"set1-062","q0K","ci_q0K","set1","62","action","Befuddle","","Return a character or item with cost 2 or less to their player's hand.","Never be afraid to have your mind boggled now and then.","src/cards/001/actions/062-befuddle.i18n.ts","translated"
"set1-063","D1e","ci_D1e","set1","63","action","Freeze","","Exert chosen opposing character.","It's time for you to chill.","src/cards/001/actions/063-freeze.i18n.ts","translated"
"set1-064","9Kp","ci_3E2","set1","64","action","Friends on the Other Side","","Draw 2 cards.","The cards, the cards the cards will tell...","src/cards/001/actions/064-friends-on-the-other-side.i18n.ts","translated"
"set1-065","wVZ","ci_wVZ","set1","65","action","Reflection","","Look at the top 3 cards of your deck. Put them back on the top of your deck in any order.","When will my reflection show Who I am inside?","src/cards/001/actions/065-reflection.i18n.ts","translated"
"set1-066","7cO","ci_dDL","set1","66","item","Magic Mirror","","SPEAK! {E}, 4 {I} — Draw a card.","What wouldst thou know, my Queen?","src/cards/001/items/066-magic-mirror.i18n.ts","translated"
"set1-067","5L3","ci_5L3","set1","67","item","Ursula’s Cauldron","","\Peer Into the Depths\ {E} — Look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.","Perfect for mixing potions and stealing voices.","src/cards/001/items/067-ursulas-cauldron.i18n.ts","translated"
"set1-068","H4U","ci_lFD","set1","68","item","White Rabbit’s Pocket Watch","","\I'm Late!\ {E}, 1 {I} — Chosen character gains Rush this turn. (They can challenge the turn they're played.)","No wonder you’re late. Why, this watch is exactly two days slow. —The Mad Hatter","src/cards/001/items/068-white-rabbits-pocket-watch.i18n.ts","translated"
"set1-069","QEo","ci_D8z","set1","69","character","Aladdin","Prince Ali","Ward","Fabulously wealthy. Practically untouchable. Genuinely inauthentic.","src/cards/001/characters/069-aladdin-prince-ali.i18n.ts","translated"
"set1-070","bXY","ci_bXY","set1","70","character","Beast","Wolfsbane","Rush
ROAR When you play this character, exert all opposing damaged characters.","I’ll take on all of you if I have to!","src/cards/001/characters/070-beast-wolfsbane.i18n.ts","translated"
"set1-071","qpX","ci_qpX","set1","71","character","Cheshire Cat","Not All There","LOSE SOMETHING? When this character is challenged and banished, banish the challenging character.","You may have noticed that I'm not all there myself.","src/cards/001/characters/071-cheshire-cat-not-all-there.i18n.ts","translated"
"set1-072","UCh","ci_UCh","set1","72","character","Cruella De Vil","Miserable as Usual","YOU'LL BE SORRY! When this character is challenged and banished, you may return chosen character to their player's hand.","When she stops by, misery is company.","src/cards/001/characters/072-cruella-de-vil-miserable-as-usual.i18n.ts","translated"
"set1-073","vyg","ci_vyg","set1","73","character","Duke of Weselton","Opportunistic Official","undefined","Sorcery! I knew there was something dubious going on here.","src/cards/001/characters/073-duke-of-weselton-opportunistic-official.i18n.ts","translated"
"set1-074","a9K","ci_a9K","set1","74","character","Flynn Rider","Charming Rogue","HERE COMES THE SMOLDER Whenever this character is challenged, the challenging player chooses and discards a card.","I didn’t want to have to do this, but you leave me no choice.. . .","src/cards/001/characters/074-flynn-rider-charming-rogue.i18n.ts","translated"
"set1-075","O4w","ci_1oW","set1","75","character","Genie","On the Job","Evasive
DISAPPEAR When you play this character, you may return chosen character to their player's hand.","Can your friends go ‘Abracadabra, let ’er rip’ and then make the sucker disappear?","src/cards/001/characters/075-genie-on-the-job.i18n.ts","translated"
"set1-076","Mpt","ci_K4J","set1","76","character","Genie","Powers Unleashed","Shift 6
Evasive
PHENOMENAL COSMIC POWER! Whenever this character quests, you may play an action with cost 5 or less for free.","","src/cards/001/characters/076-genie-powers-unleashed.i18n.ts","translated"
"set1-077","5U3","ci_5U3","set1","77","character","Genie","The Ever Impressive","undefined","You can wish for nearly anything! Do you want the short version, or should I give you the whole song and dance?","src/cards/001/characters/077-genie-the-ever-impressive.i18n.ts","translated"
"set1-078","7lM","ci_7lM","set1","78","character","Hans","Scheming Prince","undefined","Rules are like older siblings. All they do is get in the way.","src/cards/001/characters/078-hans-scheming-prince.i18n.ts","translated"
"set1-079","dBe","ci_dBe","set1","79","character","Horace","No-Good Scoundrel","undefined","Well, they ain’t in here, Jasper.","src/cards/001/characters/079-horace-no-good-scoundrel.i18n.ts","translated"
"set1-080","4Om","ci_4Om","set1","80","character","Iago","Loud-Mouthed Parrot","YOU GOT A PROBLEM? {E} — Chosen character gains Reckless during their next turn. (They can't quest and must challenge if able.)","","src/cards/001/characters/080-iago-loud-mouthed-parrot.i18n.ts","translated"
"set1-081","gsE","ci_gsE","set1","81","character","Jasper","Common Crook","PUPPYNAPPING Whenever this character quests, chosen opposing character can't quest during their next turn.","Now, look here, Horace, I warned you about thinkin’.","src/cards/001/characters/081-jasper-common-crook.i18n.ts","translated"
"set1-082","n4l","ci_Jdb","set1","82","character","John Silver","Alien Pirate","PICK YOUR FIGHTS When you play this character and whenever he quests, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)","Don't be too put off by this. . . hunk of hardware.","src/cards/001/characters/082-john-silver-alien-pirate.i18n.ts","translated"
"set1-083","JMC","ci_JMC","set1","83","character","Jumba Jookiba","Renegade Scientist","undefined","Created something? Ha! But that would be irresponsible and unethical. I would never, ever. . . make more than one.","src/cards/001/characters/083-jumba-jookiba-renegade-scientist.i18n.ts","translated"
"set1-084","Jgm","ci_2TN","set1","84","character","Kuzco","Temperamental Emperor","Ward
NO TOUCHY! When this character is challenged and banished, you may banish the challenging character.","I asked for emerald and that is clearly jade! What is wrong with you people?","src/cards/001/characters/084-kuzco-temperamental-emperor.i18n.ts","translated"
"set1-085","L2F","ci_L2F","set1","85","character","Lady Tremaine","Wicked Stepmother","DO IT AGAIN! When you play this character, you may return an action card from your discard to your hand.","If your chores are done, then clearly you don’t have enough of them.","src/cards/001/characters/085-lady-tremaine-wicked-stepmother.i18n.ts","translated"
"set1-086","7zd","ci_7zd","set1","86","character","Mad Hatter","Gracious Host","TEA PARTY Whenever this character is challenged, you may draw a card.","Mad Hatter: Would you like a little more tea? Alice: I haven’t had any yet, so I can’t very well take more.","src/cards/001/characters/086-mad-hatter-gracious-host.i18n.ts","translated"
"set1-087","M9e","ci_QjA","set1","87","character","Megara","Pulling the Strings","WONDER BOY When you play this character, chosen character gets +2 {S} this turn.","A deal’s a deal. But falling in love was never supposed to be part of it.","src/cards/001/characters/087-megara-pulling-the-strings.i18n.ts","translated"
"set1-088","PiO","ci_8IO","set1","88","character","Mickey Mouse","Artful Rogue","Shift 5
MISDIRECTION Whenever you play an action, chosen opposing character can't quest during their next turn.","Quiet as a... well, you know.","src/cards/001/characters/088-mickey-mouse-artful-rogue.i18n.ts","translated"
"set1-089","haW","ci_5sX","set1","89","character","Mickey Mouse","Steamboat Pilot","undefined","On rivers throughout the Inklands, the little steamboat's whistle answers the cheery tunes of its pilot.","src/cards/001/characters/089-mickey-mouse-steamboat-pilot.i18n.ts","translated"
"set1-090","QPF","ci_QPF","set1","90","character","Mother Gothel","Selfish Manipulator","SKIP THE DRAMA, STAY WITH MAMA While this character is exerted, opposing characters can't quest.","Great. Now <I’m> the bad guy.","src/cards/001/characters/090-mother-gothel-selfish-manipulator.i18n.ts","translated"
"set1-091","k9e","ci_k9e","set1","91","character","Peter Pan","Never Landing","Evasive","What’s the matter, Hook? Can’t you fly?","src/cards/001/characters/091-peter-pan-never-landing.i18n.ts","translated"
"set1-092","q5S","ci_q5S","set1","92","character","Tamatoa","Drab Little Crab","undefined","Someday, I’ll grow up to be the most crabulous crustacean the world has ever seen!","src/cards/001/characters/092-tamatoa-drab-little-crab.i18n.ts","translated"
"set1-093","0Ez","ci_yDh","set1","93","character","Tinker Bell","Most Helpful","Evasive
PIXIE DUST When you play this character, chosen character gains Evasive this turn.","","src/cards/001/characters/093-tinker-bell-most-helpful.i18n.ts","translated"
"set1-094","27H","ci_27H","set1","94","action","Do It Again!","","Return an action card from your discard to your hand.","... Then scrub the terrace, sweep the halls and the stairs, clean the chimneys. And of course there's the mending, and the sewing, and the laundry. . . —Lady Tremaine","src/cards/001/actions/094-do-it-again.i18n.ts","translated"
"set1-095","VGx","ci_12N","set1","95","action","Mother Knows Best","","Return chosen character to their player's hand.","One way or another Something will go wrong, I swear","src/cards/001/actions/095-mother-knows-best.i18n.ts","translated"
"set1-096","0r9","ci_0r9","set1","96","action","Stampede","","Deal 2 damage to chosen damaged character.","A wildebeest stampede is like a raging river: best experienced from a distance.","src/cards/001/actions/096-stampede.i18n.ts","translated"
"set1-097","mkJ","ci_mkJ","set1","97","action","Steal from the Rich","","Whenever one of your characters quests this turn, each opponent loses 1 lore.","Wonder how much ol’ Prince John spent on all those fancy locks. —Little John","src/cards/001/actions/097-steal-from-the-rich.i18n.ts","translated"
"set1-098","DDi","ci_72X","set1","98","action","Sudden Chill","","Each opponent chooses and discards a card.","Cruella De Vil, Cruella De Vil If she doesn't scare you, no evil thing will","src/cards/001/actions/098-sudden-chill.i18n.ts","translated"
"set1-099","4uS","ci_4uS","set1","99","action","The Beast is Mine!","","Chosen character gains Reckless during their next turn. (They can't quest and must challenge if able.)","It's only fitting that the finest hunter gets the foulest beast! —Gaston","src/cards/001/actions/099-the-beast-is-mine.i18n.ts","translated"
"set1-100","sYQ","ci_sYQ","set1","100","action","Vicious Betrayal","","Chosen character gets +2 {S} this turn. If a Villain character is chosen, they get +3 {S} instead.","A true king takes matters into his own claws. —Scar","src/cards/001/actions/100-vicious-betrayal.i18n.ts","translated"
"set1-101","flR","ci_flR","set1","101","item","Dr. Facilier’s Cards","","\The Cards Will Tell\ {E} — You pay 1 {I} less for the next action you play this turn.","Take a little trip into your future with me! —Dr. Facilier","src/cards/001/items/101-dr-faciliers-cards.i18n.ts","translated"
"set1-102","EDv","ci_EDv","set1","102","item","Stolen Scimitar","","SLASH {E} — Chosen character gets +1 {S} this turn. If a character named Aladdin is chosen, he gets +2 {S} instead.","Sometimes you've got to take what you can get.","src/cards/001/items/102-stolen-scimitar.i18n.ts","translated"
"set1-103","Dba","ci_Dba","set1","103","character","Abu","Mischievous Monkey","undefined","Someday, Abu, things are gonna change. We'll be rich, live in a palace, and never have any problems at all. —Aladdin","src/cards/001/characters/103-abu-mischievous-monkey.i18n.ts","translated"
"set1-104","D7K","ci_wrC","set1","104","character","Aladdin","Heroic Outlaw","Shift 5
DARING EXPLOIT During your turn, whenever this character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore.","","src/cards/001/characters/104-aladdin-heroic-outlaw.i18n.ts","translated"
"set1-105","ZTM","ci_ZTM","set1","105","character","Aladdin","Street Rat","IMPROVISE When you play this character, each opponent loses 1 lore.","It can be hard to tell the difference between a diamond in the rough and someone who’s just, well, rough.","src/cards/001/characters/105-aladdin-street-rat.i18n.ts","translated"
"set1-106","lk3","ci_lk3","set1","106","character","Captain","Colonel’s Lieutenant","undefined","Barking signal. It’s an alert. Report to the Colonel at once!","src/cards/001/characters/106-captain-colonels-lieutenant.i18n.ts","translated"
"set1-107","eM3","ci_eM3","set1","107","character","Captain Hook","Ruthless Pirate","Rush
YOU COWARD! While this character is exerted, opposing characters with Evasive gain Reckless. (They can't quest and must challenge if able.)","You wouldn’t dare fight old Hook man-to-man!","src/cards/001/characters/107-captain-hook-ruthless-pirate.i18n.ts","translated"
"set1-108","Blq","ci_Blq","set1","108","character","Donald Duck","Boisterous Fowl","undefined","Who you callin’ boisterous, buster?","src/cards/001/characters/108-donald-duck-boisterous-fowl.i18n.ts","translated"
"set1-109","zCK","ci_zCK","set1","109","character","Elsa","Ice Surfer","THAT'S NO BLIZZARD Whenever you play a character named Anna, ready this character. This character can't quest for the rest of this turn.","My sister has always been there for me. I need to be there for her.","src/cards/001/characters/109-elsa-ice-surfer.i18n.ts","translated"
"set1-110","sHc","ci_5JP","set1","110","character","Gaston","Arrogant Hunter","Reckless","It’s not arrogance when you really <are> the best.","src/cards/001/characters/110-gaston-arrogant-hunter.i18n.ts","translated"
"set1-111","nb3","ci_nb3","set1","111","character","Goofy","Daredevil","Evasive","Sometimes you gotta give it the ol’ jump and hyuck.","src/cards/001/characters/111-goofy-daredevil.i18n.ts","translated"
"set1-112","S44","ci_KDb","set1","112","character","LeFou","Instigator","FAN THE FLAMES When you play this character, ready chosen character. They can't quest for the rest of this turn.","All a mob needs is a push in the wrong direction.","src/cards/001/characters/112-lefou-instigator.i18n.ts","translated"
"set1-113","MEd","ci_C6t","set1","113","character","Maleficent","Monstrous Dragon","DRAGON FIRE When you play this character, you may banish chosen character.","The ninth Rule of Villainy: When all else fails, turn into a dragon.","src/cards/001/characters/113-maleficent-monstrous-dragon.i18n.ts","translated"
"set1-114","FqD","ci_g8i","set1","114","character","Maui","Hero to All","Rush
Reckless","What I believe you were trying to say is ‘Thank you.’","src/cards/001/characters/114-maui-hero-to-all.i18n.ts","translated"
"set1-115","vrS","ci_vrS","set1","115","character","Mickey Mouse","Brave Little Tailor","Evasive","When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.","src/cards/001/characters/115-mickey-mouse-brave-little-tailor.i18n.ts","translated"
